position,sentence_id,word,sentence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,age,frameRate,sex,expName,date,ID,
medial,6,pack,Say 'pack' again,2,7,135,5,space,0.835489034653,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,1,cat,Say 'cat' again,2,8,136,0,space,0.919610023499,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,38,pack,The word is 'pack',2,9,137,37,space,0.985422849655,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,8,tack,Say 'tack' again,2,10,138,7,space,0.91814494133,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,9,writ,Say 'writ' again,2,11,139,8,space,0.868266105652,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,13,kick,Say 'kick' again,2,12,140,12,space,0.752744913101,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,59,port,The word is 'port',2,13,141,58,space,1.03556084633,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,41,writ,The word is 'writ',2,14,142,40,space,1.00283288956,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,50,shut,The word is 'shut',2,15,143,49,space,0.869025230408,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,61,talk,The word is 'talk',2,16,144,60,space,0.91908788681,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,56,tuck,The word is 'tuck',2,17,145,55,space,0.969530105591,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,53,luck,The word is 'luck',2,18,146,52,space,0.685487985611,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,21,luck,Say 'luck' again,2,19,147,20,space,1.38601899147,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,15,chick,Say 'chick' again,2,20,148,14,space,0.866739988327,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
