speaker,index,word,position,proportion,maximum,minimum
m01,16,writ,final,0.22289903829810753,0.2570484361444699,0.7259532062521739
m01,16,writ,final,0.2895089273206325,0.2502894722363465,0.6944420217510334
m01,16,writ,final,0.35558037930725983,0.24474419500969657,0.6644351870246304
m01,16,writ,final,0.42247763280194844,0.23198162545441067,0.6677458131706245
m01,16,writ,final,0.48851651796708234,0.24568928532681894,0.7010990261231859
m01,16,writ,final,0.553785670190754,0.2926656589613421,0.7346200026254388
m01,16,writ,final,0.619503284066722,0.3757886765178397,0.6977191056560613
m01,17,fit,medial,0.08224695798010849,0.2713631368230022,0.7866941150382321
m01,17,fit,medial,0.1723566151732116,0.20551152929785227,0.671862175601867
m01,17,fit,medial,0.2744995606905443,0.09069549015473875,0.6890181163929802
m01,17,fit,medial,0.36068971893501267,0.1533950428682662,0.792141068401588
m01,17,fit,medial,0.4510343447171203,0.169193911393957,0.8409871132016992
m01,17,fit,medial,0.5485078555830586,0.20563323456070626,0.7908172464083761
m01,17,fit,medial,0.6456401302902289,0.13489064320982827,0.4635620638236385
m01,18,cork,final,0.025469484069504472,0.37894004501577244,0.8354076625447545
m01,18,cork,final,0.06447992957481778,0.3152847654194055,0.7453380001132033
m01,18,cork,final,0.10393355860967084,0.2713958686379938,0.7489470625745163
m01,18,cork,final,0.14363586347005405,0.23969749559467715,0.7212980529860524
m01,18,cork,final,0.1810908059728889,0.24613703285641836,0.6845924117788961
m01,18,cork,final,0.2205149085197323,0.23637377871617893,0.673203985759442
m01,18,cork,final,0.2594286825734342,0.2283861702870398,0.6650483936014057
m01,18,cork,final,0.29840193818180977,0.250687432190704,0.6765665463714455
m01,18,cork,final,0.3377712331695221,0.2590111146396221,0.6691802092448235
m01,18,cork,final,0.3778078438579233,0.2579216152202706,0.6683419280131707
m01,18,cork,final,0.41884753513489476,0.2438098464342028,0.6710321106729528
m01,18,cork,final,0.4592605016740556,0.2517514109554423,0.6602571539898964
m01,18,cork,final,0.5002493296129864,0.2440377138574615,0.6604974661075849
m01,18,cork,final,0.5416253165189334,0.2592381833423757,0.6661379587359424
m01,18,cork,final,0.583679699745527,0.2634537910641211,0.6614186257091214
m01,18,cork,final,0.6256641713214306,0.27488088979187336,0.6527744929382339
m01,18,cork,final,0.6683923815772788,0.2738461626036894,0.6564491572560635
m01,18,cork,final,0.7111775160655852,0.26675539321185543,0.6356331793455084
m01,18,cork,final,0.7529724934072787,0.27980209100804526,0.6891656585172128
m01,18,cork,final,0.7923589327898442,0.29614624058821093,0.739356168105537
m01,18,cork,final,0.8317183689976323,0.3095218834001516,0.7792485790512863
m01,18,cork,final,0.8704674586737282,0.29379261234297016,0.812724519100931
m01,18,cork,final,0.9093281738616859,0.31432350965531747,0.7022056455003202
m01,19,talk,medial,0.047169371658060136,0.2661176430282826,0.7544892671661522
m01,19,talk,medial,0.0992491515818697,0.229877938059426,0.6931047912171336
m01,19,talk,medial,0.1482049102805461,0.22251623925213918,0.6980931901715309
m01,19,talk,medial,0.19738483077141386,0.22213062396323874,0.6878456690700151
m01,19,talk,medial,0.24761032570946753,0.2162497682078963,0.6582853057951673
m01,19,talk,medial,0.29715019099233064,0.2300898891401031,0.6612977957978629
m01,19,talk,medial,0.34836687795705806,0.23358502318205351,0.6665999031799872
m01,19,talk,medial,0.3998925339814319,0.23770370829619084,0.7055073648738795
m01,19,talk,medial,0.45232868319272956,0.23578504385985424,0.7234785774477046
m01,19,talk,medial,0.5047752962474159,0.23772590805928762,0.694812223337078
m01,19,talk,medial,0.557806439916395,0.2386348939602045,0.7104877772698694
m01,19,talk,medial,0.6107147152575026,0.24780700699004324,0.7939159069872685
m01,19,talk,medial,0.6636282269142607,0.2665816721200959,0.7043394361215827
m01,19,talk,medial,0.7169272975424209,0.27722927281714604,0.7652734212189929
m01,19,talk,medial,0.7693449072300096,0.31220412345033804,0.7795380082886312
m01,19,talk,medial,0.8226079961455697,0.35153867257698795,0.7782808506194825
m01,19,talk,medial,0.8756910522634603,0.4285927366578978,0.778565081875688
m01,20,pork,medial,0.06281858812414949,0.35298154300851575,0.7488445039360301
m01,20,pork,medial,0.12183145978741458,0.30519181133993445,0.7355010513702982
m01,20,pork,medial,0.18153274459023067,0.2691375583441227,0.6919757693893474
