position,sentence_id,word,sentence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,age,frameRate,sex,expName,date,ID,
medial,1,cat,Say 'cat' again,1,33,97,0,space,1.44979500771,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,39,Mac,The word is 'Mac',1,34,98,38,space,2.21991682053,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,17,cut,Say 'cut' again,1,35,99,16,space,1.23649191856,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,32,cork,Say 'cork' again,1,36,100,31,space,1.91948318481,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,38,pack,The word is 'pack',1,37,101,37,space,6.08818984032,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,48,wick,The word is 'wick',1,38,102,47,space,1.45224189758,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,10,lit,Say 'lit' again,1,39,103,9,space,1.28626585007,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,14,mick,Say 'mick' again,1,40,104,13,space,1.93590402603,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,33,cat,The word is 'cat',1,41,105,32,space,2.16970586777,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,30,walk,Say 'walk' again,1,42,106,29,space,1.70288395882,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,11,kit,Say 'kit' again,1,43,107,10,space,1.48531699181,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,41,writ,The word is 'writ',1,44,108,40,space,3.43625807762,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,29,talk,Say 'talk' again,1,45,109,28,space,2.90295815468,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,23,muck,Say 'muck' again,1,46,110,22,space,2.2696621418,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,46,mick,The word is 'mick',1,47,111,45,space,2.23647689819,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,6,pack,Say 'pack' again,1,48,112,5,space,1.2852139473,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,61,talk,The word is 'talk',1,49,113,60,space,2.03740715981,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,12,fit,Say 'fit' again,1,50,114,11,space,2.25403594971,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,62,walk,The word is 'walk',1,51,115,61,space,2.28486299515,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,25,sort,Say 'sort' again,1,52,116,24,space,2.15353703499,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,7,Mac,Say 'Mac' again,1,53,117,6,space,1.38619399071,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,47,chick,The word is 'chick',1,54,118,46,space,2.68636202812,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,9,writ,Say 'writ' again,1,55,119,8,space,1.87013697624,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,57,sort,The word is 'sort',1,56,120,56,space,2.08733415604,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,37,Jack,The word is 'Jack',1,57,121,36,space,2.38409900665,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,20,gut,Say 'gut' again,1,58,122,19,space,1.90323519707,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,44,fit,The word is 'fit',1,59,123,43,space,2.27000308037,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,55,muck,The word is 'muck',1,60,124,54,space,2.50329494476,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,31,pork,Say 'pork' again,1,61,125,30,space,1.42057991028,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,26,short,Say 'short' again,1,62,126,25,space,1.92046713829,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,2,fat,Say 'fat' again,1,63,127,1,space,1.51921916008,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,26,short,Say 'short' again,2,0,128,25,space,2.01982712746,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,17,cut,Say 'cut' again,2,1,129,16,space,1.38646006584,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,3,chat,Say 'chat' again,2,2,130,2,space,1.7701921463,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,4,rat,Say 'rat' again,2,3,131,3,space,1.80358695984,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,21,luck,Say 'luck' again,2,4,132,20,space,1.51876711845,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,32,cork,Say 'cork' again,2,5,133,31,space,1.43608999252,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,62,walk,The word is 'walk',2,6,134,61,space,2.00293111801,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,52,gut,The word is 'gut',2,7,135,51,space,1.53515791893,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,9,writ,Say 'writ' again,2,8,136,8,space,1.38597583771,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,39,Mac,The word is 'Mac',2,9,137,38,space,2.06991910934,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,22,duck,Say 'duck' again,2,10,138,21,space,1.20129299164,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,45,kick,The word is 'kick',2,11,139,44,space,1.95119786263,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,61,talk,The word is 'talk',2,12,140,60,space,2.08574104309,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,11,kit,Say 'kit' again,2,13,141,10,space,1.07043194771,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,5,Jack,Say 'Jack' again,2,14,142,4,space,1.68591690063,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,38,pack,The word is 'pack',2,15,143,37,space,1.86954283714,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,29,talk,Say 'talk' again,2,16,144,28,space,1.65281319618,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,24,tuck,Say 'tuck' again,2,17,145,23,space,1.33654093742,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,44,fit,The word is 'fit',2,18,146,43,space,2.01968502998,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,64,cork,The word is 'cork',2,19,147,63,space,3.12015891075,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,43,kit,The word is 'kit',2,20,148,42,space,1.60062909126,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,31,pork,Say 'pork' again,2,21,149,30,space,2.26966619492,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,53,luck,The word is 'luck',2,22,150,52,space,2.53671693802,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,59,port,The word is 'port',2,23,151,58,space,1.68589401245,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,8,tack,Say 'tack' again,2,24,152,7,space,1.36865210533,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,16,wick,Say 'wick' again,2,25,153,15,space,1.35306406021,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,28,wrought,Say 'wrought' again,2,26,154,27,space,1.98680496216,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,60,wrought,The word is 'wrought',2,27,155,59,space,2.11971497536,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,54,duck,The word is 'duck',2,28,156,53,space,2.35371804237,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,46,mick,The word is 'mick',2,29,157,45,space,1.75330686569,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,56,tuck,The word is 'tuck',2,30,158,55,space,3.11925792694,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,41,writ,The word is 'writ',2,31,159,40,space,2.70341205597,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,40,tack,The word is 'tack',2,32,160,39,space,2.22000789642,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,42,lit,The word is 'lit',2,33,161,41,space,2.55365610123,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,50,shut,The word is 'shut',2,34,162,49,space,1.58648204803,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,48,wick,The word is 'wick',2,35,163,47,space,1.60306096077,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,25,sort,Say 'sort' again,2,36,164,24,space,2.31870388985,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,13,kick,Say 'kick' again,2,37,165,12,space,1.48663401604,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,47,chick,The word is 'chick',2,38,166,46,space,2.10274600983,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,7,Mac,Say 'Mac' again,2,39,167,6,space,1.76897192001,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,63,pork,The word is 'pork',2,40,168,62,space,2.83603405952,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,58,short,The word is 'short',2,41,169,57,space,3.3369038105,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,19,nut,Say 'nut' again,2,42,170,18,space,1.46918201447,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,15,chick,Say 'chick' again,2,43,171,14,space,1.71728181839,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,34,fat,The word is 'fat',2,44,172,33,space,1.61930513382,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,37,Jack,The word is 'Jack',2,45,173,36,space,2.00292205811,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,27,port,Say 'port' again,2,46,174,26,space,1.652561903,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,51,nut,The word is 'nut',2,47,175,50,space,1.75221705437,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,49,cut,The word is 'cut',2,48,176,48,space,1.56886601448,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,1,cat,Say 'cat' again,2,49,177,0,space,1.38667011261,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,57,sort,The word is 'sort',2,50,178,56,space,1.90315198898,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,20,gut,Say 'gut' again,2,51,179,19,space,1.43634295464,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,30,walk,Say 'walk' again,2,52,180,29,space,1.85274004936,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,55,muck,The word is 'muck',2,53,181,54,space,2.08693790436,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,23,muck,Say 'muck' again,2,54,182,22,space,1.15298604965,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,36,rat,The word is 'rat',2,55,183,35,space,2.11977601051,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,12,fit,Say 'fit' again,2,56,184,11,space,1.40290808678,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,14,mick,Say 'mick' again,2,57,185,13,space,1.30284786224,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,35,chat,The word is 'chat',2,58,186,34,space,2.86931705475,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,2,fat,Say 'fat' again,2,59,187,1,space,1.50330400467,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,18,shut,Say 'shut' again,2,60,188,17,space,1.9358150959,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,10,lit,Say 'lit' again,2,61,189,9,space,2.15207195282,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,33,cat,The word is 'cat',2,62,190,32,space,2.38710093498,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,6,pack,Say 'pack' again,2,63,191,5,space,1.15249609947,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
